M,gamma,Q,index,xi,comparison_kind,theta_deg,beta_closed_deg,beta_numeric_deg,beta_abs_error_deg,theta_back_error_deg,original_ratio_rel_residual,raw_radical_rel_residual,cubic_rel_residual,u,u_minus_u_cj,R,D,D_minus_R2,real_root_count,accepted_root_count
5.0,1.2,2.0,10,0.5,same-theta Brent root,26.979616156622836,37.025940507497296,37.025940507497204,9.54166404439055e-14,1.6538884343610288e-13,1.6689151578498587e-14,1.6689151578498587e-14,2.990020071296958e-15,9.065414678410654,5.916297306304301,7.1940928828022015,51.75497240638642,1.1297629498585593e-12,3,2
5.0,1.2,2.0,11,0.55,same-theta Brent root,29.066188474798377,39.28651406943686,39.28651406943683,3.180554681463517e-14,3.180554681463517e-14,2.9360892034215356e-15,2.9360892034215356e-15,4.029020943079951e-16,10.023515263217986,6.874397891111633,8.168394700682706,66.72267198614158,2.7000623958883807e-13,3,2
5.0,1.2,2.0,12,0.6000000000000001,same-theta Brent root,31.152760792973915,41.62524931373889,41.62524931373889,0.0,6.3611093629270335e-15,3.6949702993463847e-16,3.6949702993463847e-16,5.98067187266144e-17,11.030890561434534,7.881773189328181,9.189130860172382,84.44012596537243,1.4210854715202004e-14,3,2
5.0,1.2,2.0,13,0.65,same-theta Brent root,33.23933311114945,44.04854787275205,44.048547872752025,3.180554681463517e-14,3.180554681463517e-14,2.8048762769689785e-15,2.8048762769689785e-15,3.9182850458554576e-16,12.08492700898395,8.935809636877597,10.254318464984648,105.1510471813254,2.984279490192421e-13,3,2
5.0,1.2,2.0,14,0.7000000000000001,same-theta Brent root,35.32590542932499,46.5680057462954,46.56800574629535,5.088887490341627e-14,3.81666561775622e-14,3.6769625501347335e-15,3.6769625501347335e-15,5.024366313700141e-16,13.18383002056881,10.034712648462456,11.362633054884142,129.10942993994618,4.547473508864641e-13,3,2
5.0,1.2,2.0,15,0.75,same-theta Brent root,37.412477747500525,49.20299529737046,49.20299529737041,4.4527765540489235e-14,3.81666561775622e-14,3.0402518751593378e-15,3.0402518751593378e-15,4.3094105066824503e-16,14.327330771605434,11.17821339949908,12.514165055278735,156.6043270307598,3.979039320256561e-13,3,2
5.0,1.2,2.0,16,0.8,same-theta Brent root,39.49905006567607,51.98599704796512,51.98599704796516,3.81666561775622e-14,1.2722218725854067e-14,1.0762511825997953e-15,1.0762511825997953e-15,1.4989590795795274e-16,15.518094884874255,12.368977512767902,13.711863716810939,188.01520658839644,1.4210854715202004e-13,3,2
5.0,1.2,2.0,17,0.8500000000000001,same-theta Brent root,41.585622383851614,54.97481829790618,54.97481829790606,1.2086107789561363e-13,2.5444437451708134e-14,2.074439816625915e-15,2.074439816625915e-15,1.7646485540785258e-16,16.76492518371224,13.615807811605887,14.96476892945336,223.94430911193314,4.831690603168681e-13,3,2
5.0,1.2,2.0,18,0.9,same-theta Brent root,43.67219470202715,58.28640004851279,58.28640004851279,0.0,0.0,1.431078066731732e-16,1.431078066731732e-16,4.186835458366447e-17,18.091681968369937,14.942564596263583,16.29696676136266,265.5911256209594,5.684341886080802e-14,3,2
5.0,1.2,2.0,19,0.9500000000000001,same-theta Brent root,45.75876702020268,62.23057778158984,62.230577781589815,2.5444437451708134e-14,1.2722218725854067e-14,8.296932910354951e-16,8.296932910354951e-16,1.0406565127956549e-16,19.57309224340002,16.423974871293666,17.78349103873756,316.25255352485925,2.2737367544323206e-13,3,2
