M,gamma,Q,theta_index,xi,theta_deg,root_index,t,beta_deg,u,u_cj,R,D,D_minus_R2,cubic_rel_residual,geometry_ok,cj_ok,high_compression_ok,accepted
5.0,1.2,2.0,0,0.0,6.113892974867445,0,0.37962948147689113,20.78823826975871,3.1491173721063546,3.1491173721063537,8.881784197001252e-16,3.552713678800501e-15,3.5527136788005e-15,1.1558377919938697e-16,True,True,True,True
5.0,1.2,2.0,1,0.05,8.200465293042985,0,-0.11092370200849544,-6.32958472540829,0.3038629414880924,3.1491173721063537,-0.19733513807364989,0.038941156717742176,-8.042871924018868e-13,1.291189377639057e-13,False,False,False,False
5.0,1.2,2.0,1,0.05,8.200465293042985,1,0.3889257866864977,21.252341850294382,3.284723655599036,3.1491173721063537,0.6343244340031173,0.402367487575237,1.8618440122963875e-12,5.489620957847053e-14,True,True,True,True
5.0,1.2,2.0,1,0.05,8.200465293042985,2,41.96012009988988,88.63477664947202,24.985808772357846,3.1491173721063537,23.20933367414915,538.6731695979937,0.0,1.493654604437314e-17,True,True,True,True
5.0,1.2,2.0,2,0.1,10.287037611218523,0,-0.10550016374094717,-6.022436244846783,0.27519412481862143,3.1491173721063537,-0.3488918270232544,0.12172550696346623,-1.5822065879689262e-13,2.653433028854124e-14,False,False,False,False
5.0,1.2,2.0,2,0.1,10.287037611218523,1,0.40994968891123484,22.29116133677455,3.596966929252814,3.1491173721063537,1.2118934505125711,1.4686857353953293,6.350475700855895e-14,1.4039289757887798e-15,True,True,True,True
5.0,1.2,2.0,2,0.1,10.287037611218523,2,33.2330365717663,88.27645914520195,24.97738446282475,3.1491173721063537,23.200893699725594,538.2814684659668,0.0,4.373520797341276e-17,True,True,True,True
5.0,1.2,2.0,3,0.15000000000000002,12.373609929394062,0,-0.0990874759528122,-5.65882235870037,0.24307164020303496,3.1491173721063537,-0.46522625631766523,0.2164354695671391,-2.1083135237631723e-13,3.735900477863652e-14,False,False,False,False
5.0,1.2,2.0,3,0.15000000000000002,12.373609929394062,1,0.4378645642760919,23.646907601571957,4.022012545957776,3.1491173721063537,1.7982235939545088,3.2336080938547953,1.2523315717771766e-13,1.8665425199415605e-15,True,True,True,True
5.0,1.2,2.0,3,0.15000000000000002,12.373609929394062,2,27.40721756065152,87.9103907917584,24.966762195414983,3.1491173721063537,23.19025166411447,537.7877722449641,1.1368683772161603e-13,2.953787730664551e-17,True,True,True,True
5.0,1.2,2.0,4,0.2,14.4601822475696,0,-0.09251379020087125,-5.285604508713307,0.2121542483601987,3.1491173721063537,-0.5563644166504409,0.3095413641152588,4.733990977001667e-13,8.664324550447772e-14,False,False,False,False
5.0,1.2,2.0,4,0.2,14.4601822475696,1,0.4707964268538287,25.210888686026188,4.535861477932372,3.1491173721063537,2.4186193493038495,5.849719556825284,-1.6919798895287386e-12,1.8792453328576917e-14,True,True,True,True
