gamma,Q,M,M_over_Mcj,c2,n_sonic,n_sonic_high,theta_cj_deg,theta_max_deg,beta_max_deg,theta_s_deg,beta_s_deg,u_s,R_s,order_ok,weak_ok
1.15,1.0,1.4429868833736574,1.0005,-1.5440856348533696,1,1,0.5762236668230376,0.5776515263510464,88.19298987491999,0.5775016239104032,88.19056972802251,2.0801351863458812,0.002739201204828401,True,True
1.15,1.0,1.4437080162489064,1.001,-1.5488735232171116,1,1,0.813905351210406,0.8179383076338637,87.45127497500239,0.8175165949275212,87.4444918464613,2.0801492153554815,0.005471876217268079,True,True
1.15,1.0,1.4566884080033924,1.01,-1.635464571426353,1,1,2.5181582196773395,2.642622270821805,82.29087183679896,2.6304715722260608,82.10698424630263,2.081925919312109,0.05361725188736388,True,True
1.15,1.0,1.5143790380233286,1.05,-2.029690902850263,1,1,5.131844598340997,6.396314461869312,75.16646758036909,6.301114686674548,73.96429780322909,2.1183468614105987,0.2501667829427987,True,True
1.15,1.0,1.5864923255482493,1.1,-2.5440031677540325,1,1,6.519396287397203,9.745075589684848,71.64967188393801,9.559792773377222,69.5773915004227,2.210492035401888,0.4748613070771759,True,True
1.15,1.0,1.7307189005980899,1.2,-3.64439219964116,1,1,7.613726750509284,15.248345282356329,68.62588021451516,14.973600617258086,65.82080486553147,2.492865324556052,0.9113037838901925,True,True
1.15,1.0,2.1633986257476123,1.5,-7.519675311939313,1,1,7.6570293344361415,27.371508116987133,66.92628504294414,27.155167719495378,64.41215468609762,3.807265367860811,2.396947970660057,True,True
1.15,1.0,2.8845315009968164,2.0,-15.892200554558778,1,1,6.350882458897873,39.25944865426783,68.32955896998702,39.18281765787863,66.92156207880754,7.042016436140682,5.705813694627808,True,True
1.15,1.0,4.326797251495225,3.0,-39.81370124775725,1,1,4.4597200500129075,49.77821247397913,71.1701478098028,49.764875963696646,70.63441364725361,16.66268882620442,15.36145260804469,True,True
1.15,1.0,7.211328752492041,5.0,-116.36250346599235,1,1,2.7360316511237275,56.24235314339136,73.50313319166072,56.240872578251576,73.33806632673229,47.72803740600531,46.440717869434884,True,True
1.15,1.0,11.538126003987266,8.0,-302.9502088729404,1,1,1.7221512977091384,58.72250802270741,74.49875675785766,58.722298205939616,74.43878408656823,123.54742314961877,122.26437310642065,True,True
1.15,1.0,21.633986257476124,15.0,-1073.2225311939312,1,1,0.921383215483253,59.920146872570015,74.99759024864517,59.92013054085376,74.98116319289937,436.6003595559612,435.3191902402703,True,True
1.15,2.0,1.6619544779255895,1.0005,-2.1628131794029146,1,1,0.7627979775084008,0.7644447890211823,88.1924197046868,0.7643287016264959,88.19062946054807,2.7593390690307547,0.003918156291359942,True,True
1.15,2.0,1.662785039883573,1.001,-2.169164404379418,1,1,1.077300207702454,1.0819513915631807,87.44968539798504,1.0816247491366688,87.44466133590261,2.7593582256218974,0.007827483392617296,True,True
1.15,2.0,1.6777351551272817,1.01,-2.2840290767249183,1,1,3.325619381549659,3.4690136061873478,82.25148998007684,3.459584207179647,82.11261594658798,2.761789569602768,0.0767792765728279,True,True
1.15,2.0,1.744180111765986,1.05,-2.8069778032440182,1,1,6.718736696962648,8.164093728415242,74.98133901558494,8.090933946840469,74.03406124968915,2.811990388175462,0.3591511019297511,True,True
1.15,2.0,1.8272363075643663,1.1,-3.4892228044673574,1,1,8.462164059618171,12.106228983725986,71.43097110744131,11.96782819927217,69.77448183259227,2.9397411953806434,0.6818894139427139,True,True
1.15,2.0,1.9933486991611267,1.2,-4.948909783828919,1,1,9.761323274270394,18.201443915115167,68.52923725215001,18.00914659422749,66.30014684923474,3.3314897149558576,1.303373283076624,True,True
1.15,2.0,2.4916858739514085,1.5,-10.089546537232687,1,1,9.633024121310125,30.526650100373796,67.27723324304232,30.39459262716557,65.37009589565605,5.130175615758035,3.3620874293813547,True,True
1.15,2.0,3.3222478319352113,2.0,-21.195860510635885,1,1,7.8962525562662,41.72497022775223,68.92040077473852,41.68166662598342,67.88654292947258,9.47324731703292,7.821087385255543,True,True
1.15,2.0,4.983371747902817,3.0,-52.92818614893074,1,1,5.504814692733595,51.193653350609615,71.65244475719518,51.18625997903415,71.26031940882625,22.2707852508485,20.67520964600668,True,True
1.15,2.0,8.305619579838028,5.0,-154.4716281914743,1,1,3.3657064525367337,56.84475145666257,73.74079757729326,56.84392305203955,73.6184042036611,63.496191776289564,61.92372585358303,True,True
1.15,2.0,13.288991327740845,8.0,-401.9837681701742,1,1,2.1161083630804938,58.97481237652216,74.6029824324685,58.974694010927756,74.55811608182466,164.07745738014097,162.51216877885227,True,True
1.15,2.0,24.916858739514083,15.0,-1423.7646537232688,1,1,1.1315816171936801,59.99448157691126,75.0289308092886,59.99447231686422,75.01657640524134,579.3505604103534,577.788447905562,True,True
1.15,5.0,2.1426373818599074,1.0005,-3.5340583853300016,1,1,1.0340297754796384,1.0360186863475225,88.19199872920312,1.035955195921521,88.19087056867667,4.586319360869386,0.007199218848323419,True,True
1.15,5.0,2.143708165159188,1.001,-3.544614803951396,1,1,1.460071090709673,1.4656872879005667,87.44851032236298,1.4655086881454178,87.44534173266088,4.586354842537457,0.014381385836231608,True,True
1.15,5.0,2.1629822645462338,1.01,-3.7355322365055748,1,1,4.491676405451054,4.66415023022922,82.22193945569603,4.659023219869362,82.13327160464567,4.590849075694191,0.14092359311880465,True,True
1.15,5.0,2.248644928488659,1.05,-4.604729233160864,1,1,8.956677050664549,10.665455392681165,74.84728700199226,10.62706868947515,74.22823774619704,4.682844481698675,0.6565201704619641,True,True
1.15,5.0,2.3557232584166905,1.1,-5.738693761564305,1,1,11.141211424368624,15.366192668963562,71.30503490757741,15.297242150704633,70.22286309539501,4.914082331612005,1.240662885222589,True,True
1.15,5.0,2.5698799182727528,1.2,-8.164850426985614,1,1,12.634049244503291,22.120178985824452,68.5951731013734,22.03304047202401,67.17349569551712,5.610344934105929,2.3498769737750695,True,True
1.15,5.0,3.212349897840941,1.5,-16.709141292165018,1,1,12.16515507334902,34.43734549056905,67.86767815530813,34.38651855144815,66.72663683289983,8.708173993576782,5.915673884451326,True,True
1.15,5.0,4.283133197121255,2.0,-35.16902896384892,1,1,9.82834785914834,44.652630783337166,69.70361062666177,44.63720895796868,69.10494859200689,16.011635317311516,13.43305624963116,True,True
1.15,5.0,6.424699795681882,3.0,-87.91156516866006,1,1,6.792732001542604,52.825701661246,72.23144191842641,52.82310604418893,72.00392138182919,37.33684725935191,34.866329923075725,True,True
1.15,5.0,10.707832992803137,5.0,-256.6876810240558,1,1,4.136596928712353,57.52451039645514,74.01256024588255,57.524215783087485,73.94031372126068,105.88306066130248,103.4578343224789,True,True
1.15,5.0,17.13253278848502,8.0,-668.0794634215828,1,1,2.5973845393727206,59.25652070368862,74.71993962599107,59.25647820405689,74.6931766133894,273.0681258305345,270.6571393625024,True,True
1.15,5.0,32.12349897840941,15.0,-2366.3891292165013,1,1,1.388121945369828,60.076998566278505,75.06377005501732,60.07699522268134,75.05635647934108,963.3003445181171,960.8956883203651,True,True
1.15,10.0,2.735396067824679,1.0005,-5.459500790102649,1,1,1.220453556521039,1.2226933877913344,88.19184121251757,1.222662327520266,88.19110771783818,7.474936156253475,0.012502307871091745,True,True
1.15,10.0,2.736763082351328,1.001,-5.476705988518627,1,1,1.7230552774208678,1.7293786829600413,87.44807067423393,1.729291344841887,87.44601017021137,7.474999811837937,0.024972357619445162,True,True
1.15,10.0,2.7613693438310105,1.01,-5.787869502014328,1,1,5.287417908376981,5.480894326020802,82.21096130987753,5.478405581329206,82.1531516068868,7.483033414909542,0.2442647734702046,True,True
1.15,10.0,2.8707305059629316,1.05,-7.204515367092239,1,1,10.44646928700835,12.33576734093106,74.80486224184685,12.317759400265132,74.40097780558702,7.645188154417324,1.1309253051711199,True,True
1.15,10.0,3.007431958627833,1.1,-9.052688067284905,1,1,12.884913790677833,17.4891302274135,71.29209122214539,17.458056577792995,70.5923559509099,8.045985644260778,2.1256596620131454,True,True
1.15,10.0,3.280834863957636,1.2,-13.006918030487821,1,1,14.44999587754614,24.574949459194787,68.71965010298558,24.538089890016114,67.82054401309375,9.229886232379446,3.995422958374035,True,True
1.15,10.0,4.101043579947045,1.5,-26.932684422637212,1,1,13.705019828818559,36.73957937070486,68.28754923524939,36.719976156346576,67.59410048120772,14.37503730396478,9.912941725636465,True,True
1.15,10.0,5.46805810659606,2.0,-57.019216751355046,1,1,10.978874736962023,46.31222403873689,70.18474135916985,46.306494999630026,69.82647261459249,26.343646457081505,22.238410923339373,True,True
1.15,10.0,8.20208715989409,3.0,-142.9807376905488,1,1,7.550580024357578,53.72588024354045,72.56085163750579,53.7249202024536,72.42415596200524,61.13985486259604,57.217893221891075,True,True
